# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20230401
# 終了日: 20240331
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
google / cpc,05,16012,15580,1425,11.095545391892738,0.21821940981141533,64234,0,0
google / organic,11,12764,11603,2571,52.031091772151896,0.6550632911392406,59595,0,0
google / organic,01,12266,11061,2457,51.22278167560875,0.6286421791167973,55765,0,0
google / organic,02,12248,10989,2424,53.873052701358965,0.652635067948293,55808,0,0
google / organic,10,12195,10961,2587,53.665974241794764,0.6631491483174076,57743,0,0
google / organic,12,11166,10075,2333,52.25348012009826,0.635428987353289,52535,0,0
google / organic,06,10740,9474,2412,54.26925254813137,0.623914684786712,50869,261,0.02274443186107965
google / organic,07,10698,9566,2381,54.013333333333335,0.6123877068557919,50538,0,0
google / organic,03,10100,9039,2235,53.78033809619642,0.6699537130207285,47336,0,0
google / organic,08,9721,8370,2329,58.3196901496912,0.5992881817230189,46775,0,0
google / organic,09,9710,8381,2285,54.690133500208596,0.6527951606174385,55753,0,0
google / organic,05,9098,7880,2125,55.905660377358494,0.6019872725242826,43281,0,0
google / cpc,06,8501,7541,1130,17.778949892112202,0.3579477343562695,36223,582,0.06521217933349317
google / organic,04,8043,6892,2023,52.691959229898075,0.6055115137787844,38716,0,0
google / cpc,04,7186,6475,832,17.50835087719298,0.3563508771929825,29735,0,0
google / cpc,07,7085,6318,1062,20.87824838478105,0.309978463747308,31301,2,0
google / cpc,03,4067,3420,879,41.62624254473161,0.6717196819085487,21708,0,0
google / cpc,09,3001,2371,861,55.207721216262385,0.7372736590365562,17179,0,0
google / cpc,10,2762,2114,953,59.688128023818386,0.8723483438779308,17142,1,0
google / cpc,08,2605,1938,812,57.88111332007952,0.6966202783300198,15469,0,0
bing / organic,06,2517,2111,777,65.35395741261551,0.7276014463640016,13416,68,0.025311370028123746
(direct) / (none),06,2335,1203,979,62.853059401518536,0.6534167038856632,15388,89,0.03662349263063868
google / cpc,11,2300,1710,827,65.2652697280428,0.8947837717342845,15087,0,0
yahoo / organic,11,2281,2168,298,60.951165860096786,0.6783985921689397,10160,0,0
(direct) / (none),07,2251,1108,961,66.15333960489181,0.616650987770461,13919,0,0
google / cpc,12,2234,1727,731,60.08356290174472,0.8259871441689624,13870,0,0
(direct) / (none),05,2210,1158,897,61.10066162570889,0.6512287334593573,14781,0,0
(direct) / (none),10,2163,974,1020,56.36390243902439,0.9780487804878049,12379,0,0
yahoo / organic,01,2159,2065,296,62.89888164026095,0.7017707362534948,10032,0,0
(direct) / (none),02,2158,1099,926,59.64251207729468,0.9323671497584541,12308,0,0
bing / organic,05,2154,1757,683,77.72542533081285,0.7438563327032136,12231,0,0
(direct) / (none),01,2136,1094,932,60.80351048269137,0.9380789858605558,12328,0,0
yahoo / organic,02,2131,2024,265,67.58565361019349,0.6894761680037753,9403,0,0
bing / organic,08,2116,1734,710,73.88691902252036,0.7264015333013896,11177,0,0
bing / organic,07,2106,1748,640,68.47180722891567,0.7108433734939759,10935,0,0
(direct) / (none),12,2076,1062,874,59.65830406422479,0.9382839939789263,12070,0,0
google / cpc,02,2061,1466,659,57.98052920619072,0.8332501248127808,11946,0,0
(direct) / (none),08,2058,881,1013,75.27277379733879,0.6903787103377687,15509,0,0
(direct) / (none),11,2054,906,1004,63.91128205128205,0.9784615384615385,12464,0,0
bing / organic,04,2043,1657,642,73.73485600794439,0.7636544190665343,11510,0,0
yahoo / organic,10,2039,1930,282,63.19113300492611,0.6950738916256157,9250,0,0
bing / organic,11,2030,1671,667,70.8337506259389,0.8032048072108162,10964,0,0
