# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260401
# 終了日: 20260430
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
google / cpc,04,149774,140989,18672,9.980228667416247,0.6238028149934298,896237,158733,0.4144393719774042
google / organic,04,47818,44333,10184,57.238315476821896,0.7522435557441391,292708,3538,0.024058555213747747
Facebook / banner,04,44906,43861,6284,2.2830873183230165,0.4988549531777884,250957,4472,0.034328730471849984
(direct) / (none),04,44517,40791,5221,47.00643947123778,0.607192254495159,357158,12546,0.104686756002993
smartnews / banner,04,23146,23196,569,2.0920648648648648,0.08125405405405406,78959,154,0.0025945945945945945
yahoo / organic,04,9974,9671,1276,65.66784345370183,0.7284647972564051,47205,239,0.00877546903368973
yahoo / cpc,04,8122,7750,845,33.37555665512123,0.5566551212271152,42818,822,0.04082137555665512
bing / cpc,04,6991,6098,1657,62.273415877640204,0.7021121631463948,50308,1432,0.0697742170429716
bing / organic,04,5869,4926,1789,92.76291899441341,0.9120111731843575,52192,948,0.05219972067039106
hs_email / email,04,4622,4556,125,8.654029462738302,0.06759098786828423,16717,205,0.011048526863084922
google / banner,04,3197,3161,98,1.4757097791798108,0.1665615141955836,11166,168,0.02365930599369085
WA / email,04,3094,2640,622,56.591118421052634,0.7055921052631579,25599,2332,0.28125
(data not available),04,2274,2142,278,15.806049822064058,0.8865658362989324,20956,3914,0.46708185053380785
yahoo / banner,04,1807,1762,163,3.9063205417607225,0.3007900677200903,8453,392,0.0981941309255079
help.spa-cloud.com / referral,04,1184,1057,179,41.03872633390706,0.5017211703958692,5459,58,0.01721170395869191
tdb-invoice.transprint.spa-cloud.com / referral,04,511,410,96,7.540650406504065,0.30691056910569103,2014,16,0.016260162601626018
service.smt.docomo.ne.jp / referral,04,490,483,44,64.19301848049281,0.6550308008213552,2053,12,0.01026694045174538
statics.teams.cdn.office.net / referral,04,275,196,139,150.99245283018868,1.2188679245283018,3519,104,0.1018867924528302
m.facebook.com / referral,04,207,204,2,0.4563106796116505,0.0970873786407767,671,14,0.03398058252427184
wingarc.com / referral,04,201,165,66,45.30964467005076,0.700507614213198,1289,0,0
meta / banner,04,175,1,75,0,3.4473684210526314,2145,48,0.05263157894736842
facebook.com / referral,04,166,165,1,3.6484848484848484,0.6787878787878788,699,24,0.07272727272727272
websearch.rakuten.co.jp / referral,04,108,103,23,91.36111111111111,0.8796296296296297,753,4,0.018518518518518517
ctc-g.co.jp / referral,04,102,101,13,70.8921568627451,0.9313725490196079,603,0,0
chatgpt.com / referral,04,89,74,45,207.75,1.6590909090909092,1552,29,0.07954545454545454
chatgpt.com / (not set),04,65,63,10,92.49230769230769,1.123076923076923,813,13,0.03076923076923077
search.portal.auone.jp / referral,04,64,62,3,48.666666666666664,0.6825396825396826,268,4,0.015873015873015872
wex.transprint.spa-cloud.com / referral,04,64,48,15,7.483333333333333,0.35,281,8,0.06666666666666667
hitachigroup.okta.com / referral,04,59,46,26,100.51724137931035,1.0862068965517242,585,16,0.1206896551724138
prtimes.jp / referral,04,59,53,20,81.93103448275862,0.9310344827586207,487,9,0.06896551724137931
storks.jp / referral,04,58,57,1,13.155172413793103,0.4482758620689655,260,0,0
WA / product_MB,04,57,33,36,267.6607142857143,1.8214285714285714,1363,34,0.17857142857142858
kabutan.jp / referral,04,57,53,12,71.94642857142857,1.0535714285714286,596,2,0.017857142857142856
gemini.google.com / referral,04,56,51,22,52.345454545454544,1.0545454545454545,541,16,0.07272727272727272
giravanz.jp / referral,04,53,53,1,30.60377358490566,0.4528301886792453,263,0,0
dtl6000-at-01.digitalworks.local:8180 / referral,04,50,50,0,4.04,0,197,0,0
t.co / referral,04,49,45,3,24.479166666666668,0.625,282,2,0.020833333333333332
ydsa / cpc,04,48,1,41,384.1904761904762,1.7380952380952381,1190,13,0.09523809523809523
global.toshiba / referral,04,42,36,10,29.595238095238095,0.9285714285714286,334,10,0.07142857142857142
ja.wikipedia.org / referral,04,39,32,10,69.48648648648648,0.972972972972973,284,2,0.02702702702702703
wingarc-nex.com / referral,04,38,32,10,45.83783783783784,0.8648648648648649,279,2,0.02702702702702703
ads.svfcloud.com / referral,04,31,20,11,31.964285714285715,0.6785714285714286,185,5,0.07142857142857142
nikkeixtech / external,04,27,22,9,190.92,0.88,196,5,0.04
seikyu-shimojima.transprint.spa-cloud.com / referral,04,27,23,5,2.8518518518518516,0.07407407407407407,101,0,0
marukome-transprint.transprint.spa-cloud.com / referral,04,25,25,4,12.8,0.4,114,2,0.04
wakita.transprint.spa-cloud.com / referral,04,24,22,2,9.333333333333334,0.2916666666666667,120,4,0.08333333333333333
cn.bing.com / referral,04,23,21,8,100.13636363636364,0.8636363636363636,356,27,0.22727272727272727
copilot.com / referral,04,23,21,11,96.26086956521739,0.9565217391304348,214,7,0.08695652173913043
login.microsoftonline.com / referral,04,23,22,6,43.73913043478261,0.9565217391304348,214,4,0.08695652173913043
waibi.transprint.spa-cloud.com / referral,04,22,18,3,18.80952380952381,0.47619047619047616,110,6,0.14285714285714285
desknets.kscom.co.jp / referral,04,21,21,1,83.66666666666667,0.9047619047619048,116,0,0
perplexity.ai / referral,04,21,17,7,108.75,1.5,250,0,0
search.nifty.com / referral,04,21,20,3,69.14285714285714,0.7619047619047619,110,0,0
hitachi-solutions.co.jp / referral,04,20,14,11,90.35,0.85,194,5,0.1
kyocera.transprint.spa-cloud.com / referral,04,20,18,3,6.75,0.3,96,4,0.1
dic.transprint.spa-cloud.com / referral,04,19,17,3,8.842105263157896,0.3684210526315789,85,2,0.05263157894736842
i-reporter.jp / referral,04,19,12,10,88.3529411764706,1.588235294117647,234,4,0.11764705882352941
ig / social,04,19,19,0,8.578947368421053,0.3157894736842105,77,0,0
yrmk / display,04,19,0,10,4.3,1.2,95,15,0.3
an / paid,04,18,0,5,0,1.8,89,0,0
biz-study.com / referral,04,17,16,3,36.588235294117645,0.8235294117647058,89,0,0
gyoumukaikaku.transprint.spa-cloud.com / referral,04,17,16,1,4.0588235294117645,0.11764705882352941,63,0,0
search.fenrir-inc.com / referral,04,17,17,4,154.05882352941177,0.5882352941176471,97,0,0
shikiho.toyokeizai.net / referral,04,17,14,8,89.8125,1.125,259,0,0
youtube.com / referral,04,17,12,6,107.47058823529412,0.8235294117647058,172,7,0.11764705882352941
nohara.transprint.spa-cloud.com / referral,04,16,15,1,2.8125,0.25,68,2,0.0625
japan.box.com / referral,04,15,15,5,67.33333333333333,0.8,115,12,0.13333333333333333
mailtap.securemx.jp / referral,04,15,14,2,81.73333333333333,1.2666666666666666,173,5,0.06666666666666667
yp-ia.transprint.spa-cloud.com / referral,04,15,13,2,4.571428571428571,0.21428571428571427,70,4,0.14285714285714285
WA / (not set),04,14,14,1,51.714285714285715,0.7142857142857143,72,2,0.07142857142857142
c-teraoka.transprint.spa-cloud.com / referral,04,14,11,2,4.538461538461538,0.15384615384615385,56,0,0
duckduckgo / organic,04,14,13,2,67,1,154,0,0
kaname-invoice.transprint.spa-cloud.com / referral,04,14,12,2,14.642857142857142,0.35714285714285715,78,3,0.07142857142857142
mgf.cybermail.jp / referral,04,14,17,2,26.642857142857142,0.5,86,3,0.07142857142857142
openai / organic,04,14,14,1,48,0.6428571428571429,60,0,0
tanabe-invoice.transprint.spa-cloud.com / referral,04,14,13,0,3.6923076923076925,0.23076923076923078,65,4,0.15384615384615385
fa-products.jp / referral,04,13,12,4,138.07692307692307,0.9230769230769231,123,4,0.15384615384615385
kyosei-ia.transprint.spa-cloud.com / referral,04,13,9,4,24.916666666666668,0.4166666666666667,68,4,0.08333333333333333
nikkeibp / external,04,13,13,1,15.461538461538462,0.7692307692307693,75,0,0
site1.sbisec.co.jp / referral,04,13,11,3,56.15384615384615,1.0769230769230769,165,5,0.15384615384615385
site2.sbisec.co.jp / referral,04,13,13,3,89,1.2307692307692308,161,0,0
takubo-grp.transprint.spa-cloud.com / referral,04,13,12,2,12.076923076923077,0.46153846153846156,58,0,0
docs.google.com / referral,04,12,10,2,26.333333333333332,0.9166666666666666,115,17,0.3333333333333333
jpc-excel.officeapps.live.com / referral,04,12,11,6,143.83333333333334,1.25,269,17,0.16666666666666666
jsol.co.jp / referral,04,12,12,0,53.333333333333336,0.8333333333333334,61,0,0
monex.ifis.co.jp / referral,04,12,12,2,34.583333333333336,0.9166666666666666,102,0,0
ecosia.org / organic,04,11,9,3,14.8,0.4,70,0,0
news.google.com / referral,04,11,10,2,47.72727272727273,0.6363636363636364,48,0,0
prisma-cp.paprisma:6082 / referral,04,11,11,2,29.727272727272727,0.7272727272727273,52,0,0
repo.svfcloud.com / referral,04,11,6,7,72.54545454545455,1.1818181818181819,117,2,0.09090909090909091
tamadentcom.transprint.spa-cloud.com / referral,04,11,9,1,12.3,0.5,63,6,0.3
claude.ai / referral,04,10,10,5,24.1,0.6,62,0,0
lm.facebook.com / referral,04,10,10,0,4.8,0.4,35,0,0
necap-seikyu.transprint.spa-cloud.com / referral,04,10,8,2,9.6,0.2,40,0,0
oilesjp.sharepoint.com / referral,04,10,7,4,16,0.4,40,0,0
perplexity / (not set),04,10,10,0,3.6,0.3,42,2,0.1
qiita.com / referral,04,10,7,5,65.33333333333333,0.7777777777777778,93,4,0.1111111111111111
safe.menlosecurity.com / referral,04,10,8,5,502.8,1,137,15,0.3
aggkansaij.transprint.spa-cloud.com / referral,04,9,9,0,13.88888888888889,0.4444444444444444,44,2,0.1111111111111111
commmuneapp.page.link / referral,04,9,0,5,801.2,5.8,334,9,0.2
fb / banner,04,9,0,4,92.75,2.25,83,23,1
itc-uc.transprint.spa-cloud.com / referral,04,9,8,1,4.777777777777778,0.1111111111111111,35,0,0
japan-it.jp / referral,04,9,9,2,41.22222222222222,1,92,2,0.1111111111111111
jwsearch.jword.jp / referral,04,9,9,2,78.22222222222223,0.7777777777777778,48,2,0.1111111111111111
